PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
22,0.7633,0.5976,0.7554,0.5977,0.6639,0.7531,0.6944,0.6232,0.7208,0.6423,0.7161,0.5861,0.7308,0.6096,0.7352,0.7446,0.6834,0.7233,0.7542,0.5751,0.6219,0.7546,0.6756,0.6835739130434783
23,0.7633,0.5958,0.7479,0.5949,0.6587,0.742,0.6891,0.6202,0.7172,0.6397,0.7155,0.5857,0.726,0.6072,0.7313,0.7402,0.6761,0.7206,0.7489,0.5751,0.6189,0.7546,0.6719,0.6800347826086958
24,0.7484,0.5942,0.7423,0.5915,0.6555,0.7289,0.6855,0.6115,0.7155,0.6367,0.7024,0.5825,0.7203,0.6045,0.7287,0.7347,0.665,0.7108,0.7455,0.574,0.6058,0.7513,0.668,0.6740652173913044
25,0.7444,0.5926,0.7362,0.5852,0.6536,0.7122,0.6837,0.6044,0.7128,0.6345,0.7024,0.5758,0.7187,0.6017,0.7242,0.7315,0.6578,0.7047,0.7431,0.5709,0.6031,0.7459,0.6659,0.6697956521739131

SS050
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 7,Run 8,Run 9,Run 11,Run 12,Run 14,Run 15,Run 17,Run 19,Run 20,Run 21,Run 22,Run 23,Run 25,Run 26,Run 28,Run 29,Run 30,Mean
1,0.9133,1.0903,1.0026,0.9743,0.8447,1.2318,0.948,0.9712,1.0604,0.9477,1.0521,1.1968,1.0372,0.9983,1.1305,1.0953,1.0369,0.963,1.0683,0.9246,1.0845,1.0256,0.9724,1.0247739130434785
2,0.9093,0.9481,0.9586,0.9743,0.8447,1.0521,0.8958,0.8769,1.0586,0.8767,1.0521,1.0756,0.9998,0.9983,1.0148,0.9869,1.0369,0.963,0.9592,0.9246,1.0845,1.0256,0.9724,0.9777739130434783
3,0.8806,0.9198,0.9311,0.9743,0.8447,0.9412,0.8723,0.8769,1.0427,0.8767,0.991,1.0018,0.9703,0.9983,1.0148,0.9369,0.9559,0.963,0.837,0.9246,1.0845,1.024,0.9527,0.9484826086956523
4,0.8564,0.9152,0.875,0.9237,0.8447,0.8028,0.8015,0.8675,0.9747,0.8767,0.9845,0.9477,0.9285,0.9983,1.0148,0.9068,0.9494,0.9149,0.837,0.9246,1.0075,0.9552,0.9387,0.9150478260869568
5,0.8556,0.9014,0.8421,0.8501,0.8447,0.7806,0.8015,0.858,0.9582,0.8609,0.951,0.8948,0.9258,0.9771,1.0148,0.7656,0.9238,0.8909,0.837,0.9246,0.9367,0.9182,0.9084,0.887904347826087
6,0.7994,0.8987,0.7711,0.8171,0.8447,0.7726,0.8015,0.858,0.932,0.8609,0.7711,0.8776,0.8787,0.9136,1.0053,0.7656,0.9049,0.8502,0.8357,0.9246,0.9207,0.8785,0.8307,0.857095652173913
7,0.7878,0.8892,0.7421,0.7987,0.8205,0.7454,0.7877,0.858,0.9077,0.8609,0.7711,0.8304,0.8787,0.9136,0.9572,0.7656,0.8809,0.8302,0.7953,0.92,0.9207,0.8621,0.7599,0.8384217391304349
8,0.7822,0.8138,0.7246,0.7795,0.8187,0.7162,0.746,0.8566,0.8719,0.86,0.7711,0.8035,0.8272,0.8897,0.9214,0.7656,0.8518,0.7995,0.7946,0.8908,0.9022,0.8523,0.7352,0.8162782608695652
9,0.7793,0.7768,0.7241,0.7795,0.7662,0.7016,0.7418,0.8334,0.8677,0.8486,0.7616,0.7842,0.824,0.8626,0.8391,0.7656,0.8127,0.771,0.7816,0.8432,0.8995,0.8504,0.7015,0.7963478260869564
10,0.7759,0.7637,0.6875,0.7563,0.7558,0.7012,0.7242,0.8334,0.8417,0.8208,0.7203,0.7557,0.7856,0.8282,0.8232,0.7656,0.8127,0.7605,0.7662,0.8079,0.8704,0.8309,0.6822,0.7769521739130435
