BP-NN - Hidden Layer Data

HL05
Epoch,Run 1,Run 2,Run 3,Run 4,Run 8,Run 9,Run 10,Run 12,Run 13,Run 15,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 30,Mean
6,0.1779,0.1665,0.1689,0.1593,0.1794,0.1611,0.1531,0.1574,0.2159,0.1857,0.1593,0.1699,0.1377,0.1453,0.1513,0.1814,0.1723,0.1699,0.1697,0.1705,0.1456,0.1508,0.1581,0.16552173913043478
7,0.1492,0.1365,0.1474,0.1341,0.1483,0.1394,0.1298,0.1344,0.1805,0.1576,0.1377,0.1437,0.117,0.1165,0.1315,0.1561,0.1459,0.1495,0.1463,0.1442,0.1213,0.1187,0.1319,0.13989130434782612
8,0.1264,0.1118,0.1358,0.1127,0.1247,0.1202,0.1093,0.1187,0.1522,0.1394,0.1238,0.1225,0.1022,0.104,0.1156,0.1358,0.1277,0.1356,0.1226,0.1232,0.1037,0.1034,0.1111,0.12097391304347827
9,0.1117,0.0995,0.1221,0.1017,0.1085,0.1058,0.0965,0.1029,0.1302,0.1233,0.1109,0.105,0.0903,0.0911,0.1081,0.116,0.1182,0.123,0.1137,0.1027,0.0884,0.0897,0.0997,0.10691304347826087
10,0.0957,0.0836,0.1078,0.0873,0.0977,0.0938,0.0821,0.093,0.1122,0.1101,0.1019,0.0935,0.0789,0.0775,0.0937,0.1046,0.1071,0.1101,0.101,0.0927,0.0771,0.0775,0.0872,0.09417826086956524
11,0.0876,0.0755,0.0976,0.078,0.0862,0.0846,0.0734,0.0832,0.0986,0.1021,0.0901,0.088,0.0698,0.0684,0.0865,0.0954,0.0943,0.1,0.0866,0.0801,0.0678,0.0665,0.0755,0.08416521739130435
12,0.0773,0.0643,0.0886,0.0736,0.0751,0.0696,0.0657,0.0764,0.0893,0.0918,0.0869,0.0734,0.064,0.0628,0.0761,0.0869,0.0896,0.0923,0.0826,0.0702,0.0614,0.0603,0.0709,0.07604782608695651
13,0.0693,0.0565,0.0783,0.0609,0.0686,0.0652,0.0617,0.0698,0.0784,0.0825,0.0778,0.0668,0.0583,0.0527,0.069,0.0755,0.08,0.0816,0.0723,0.061,0.0533,0.0513,0.0595,0.06740434782608694
14,0.0617,0.0534,0.0715,0.0588,0.0639,0.0621,0.0553,0.0627,0.0724,0.0737,0.0701,0.0596,0.0548,0.0531,0.0646,0.0674,0.0744,0.0754,0.0685,0.0591,0.0495,0.0488,0.0547,0.06241304347826087
15,0.0629,0.0456,0.0656,0.0547,0.0558,0.0559,0.0513,0.0603,0.0621,0.069,0.0659,0.0561,0.0505,0.0462,0.0575,0.065,0.0667,0.0695,0.0594,0.0551,0.0469,0.0444,0.0511,0.05728260869565216
16,0.0549,0.0438,0.0562,0.0491,0.0513,0.0544,0.0434,0.0558,0.058,0.0612,0.0613,0.0499,0.0426,0.041,0.0507,0.0595,0.0628,0.0645,0.0542,0.0499,0.0391,0.0417,0.0468,0.051830434782608695
17,0.0491,0.0419,0.0563,0.0444,0.0486,0.0479,0.0421,0.0531,0.0489,0.055,0.0518,0.0456,0.0382,0.0387,0.0443,0.0521,0.0562,0.0624,0.0517,0.0424,0.0394,0.0361,0.0428,0.04734782608695652
18,0.0479,0.037,0.0492,0.042,0.0447,0.0465,0.0383,0.0495,0.049,0.0496,0.0508,0.0457,0.0366,0.0336,0.0405,0.0453,0.0497,0.0514,0.0497,0.0434,0.0372,0.0325,0.0391,0.043878260869565214
19,0.0449,0.0329,0.0463,0.0421,0.0417,0.0404,0.0405,0.0479,0.0421,0.0484,0.0466,0.042,0.0348,0.0343,0.0407,0.0411,0.0492,0.0479,0.0445,0.0379,0.035,0.0312,0.0344,0.041165217391304354
20,0.0397,0.0319,0.0412,0.0346,0.0347,0.0383,0.0328,0.0454,0.0378,0.0444,0.0433,0.0449,0.031,0.0351,0.0369,0.0453,0.0439,0.0411,0.0425,0.039,0.0316,0.0315,0.0374,0.03844782608695652
21,0.041,0.03,0.0374,0.0347,0.0388,0.0354,0.0309,0.0398,0.0344,0.0408,0.0395,0.0353,0.0276,0.0297,0.0338,0.0386,0.0388,0.0393,0.0404,0.031,0.0294,0.0314,0.0317,0.03520434782608695
22,0.0358,0.0278,0.0369,0.0342,0.0334,0.0351,0.0298,0.037,0.0315,0.038,0.0376,0.034,0.0283,0.0287,0.0313,0.0425,0.0404,0.0326,0.0352,0.0324,0.0288,0.0259,0.0291,0.03331739130434783
23,0.0345,0.0248,0.0366,0.0304,0.034,0.0299,0.0292,0.0343,0.0292,0.0358,0.0337,0.0334,0.0266,0.0283,0.0284,0.04,0.0371,0.0313,0.0358,0.0285,0.0278,0.0266,0.0301,0.03157826086956522
24,0.034,0.0258,0.0332,0.0328,0.0261,0.0334,0.027,0.0349,0.0265,0.0342,0.0279,0.0296,0.0221,0.0274,0.0269,0.0355,0.0341,0.0321,0.0327,0.0276,0.0232,0.0237,0.0264,0.0294391304347826
25,0.0292,0.0253,0.0314,0.0322,0.0284,0.0277,0.0273,0.033,0.027,0.0325,0.0299,0.0274,0.0234,0.0259,0.0256,0.034,0.0313,0.0347,0.0338,0.0271,0.0226,0.023,0.0268,0.028673913043478265

HL20
Epoch,Run 1,Run 2,Run 3,Run 5,Run 6,Run 7,Run 8,Run 11,Run 12,Run 13,Run 14,Run 15,Run 17,Run 18,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Mean
1,0.6954,0.7016,0.6909,0.7273,0.6799,0.7692,0.7219,0.7022,0.7345,0.6846,0.6768,0.7425,0.7019,0.8004,0.7003,0.7025,0.7045,0.6949,0.7006,0.7051,0.689,0.7185,0.7165,0.7113478260869566
2,0.4253,0.4919,0.4312,0.4777,0.4507,0.5112,0.4624,0.4341,0.4541,0.4783,0.4135,0.4682,0.4206,0.496,0.4451,0.4411,0.4481,0.4432,0.4691,0.43,0.4302,0.4782,0.4311,0.45353478260869556
3,0.2799,0.3362,0.2781,0.3421,0.3116,0.3396,0.3323,0.2781,0.3213,0.3505,0.2799,0.302,0.2736,0.3118,0.2907,0.2908,0.2962,0.293,0.3422,0.2969,0.2739,0.3325,0.2739,0.3055260869565217
4,0.2009,0.2365,0.2,0.2625,0.2162,0.2327,0.2576,0.1997,0.2313,0.2491,0.1999,0.2137,0.197,0.2214,0.2005,0.1994,0.2166,0.2135,0.2535,0.213,0.1985,0.25,0.1869,0.21958260869565216
5,0.1614,0.1783,0.156,0.2052,0.1671,0.1755,0.1985,0.155,0.1717,0.1853,0.1548,0.1662,0.1514,0.1679,0.1557,0.16,0.1722,0.1632,0.1877,0.1709,0.162,0.1911,0.1405,0.1694608695652174
6,0.1416,0.1419,0.1371,0.1576,0.1374,0.1496,0.1612,0.1313,0.1433,0.1422,0.1283,0.1423,0.1242,0.1378,0.1245,0.1345,0.1417,0.1289,0.149,0.1404,0.1334,0.1495,0.1103,0.13860869565217393
7,0.1212,0.118,0.1194,0.1232,0.1151,0.1286,0.1331,0.1209,0.1177,0.1155,0.1096,0.1208,0.104,0.1165,0.1051,0.1181,0.1228,0.1114,0.122,0.1235,0.1175,0.1312,0.0921,0.11770869565217391
8,0.1029,0.0971,0.1045,0.1031,0.1013,0.1111,0.1172,0.1006,0.0994,0.0937,0.0974,0.1048,0.0902,0.0942,0.0931,0.1087,0.1058,0.0989,0.1061,0.1099,0.1005,0.1182,0.0765,0.10153043478260868
9,0.0921,0.0803,0.0916,0.0915,0.0854,0.0965,0.1013,0.0909,0.0867,0.0789,0.0837,0.0914,0.0758,0.0836,0.083,0.0947,0.0878,0.0831,0.0971,0.097,0.0907,0.1011,0.0659,0.08826521739130434
10,0.0797,0.0734,0.0796,0.0809,0.0731,0.0859,0.0901,0.0801,0.0729,0.0642,0.0744,0.0761,0.0666,0.0708,0.074,0.0846,0.0824,0.0719,0.0811,0.0879,0.0789,0.0909,0.057,0.0772391304347826
11,0.07,0.0652,0.075,0.0694,0.0654,0.0756,0.0766,0.0717,0.0637,0.0602,0.0642,0.0681,0.0571,0.0646,0.064,0.0782,0.073,0.0611,0.0736,0.0775,0.0706,0.0812,0.0501,0.06852608695652174
12,0.0629,0.0588,0.066,0.0653,0.058,0.0667,0.0703,0.0638,0.0581,0.0551,0.0589,0.0584,0.0493,0.0581,0.056,0.0682,0.062,0.0581,0.062,0.073,0.0628,0.0711,0.0458,0.061247826086956524
13,0.0531,0.0522,0.0613,0.0627,0.0546,0.0564,0.063,0.0606,0.0511,0.0463,0.0497,0.055,0.0447,0.0536,0.0498,0.0583,0.0578,0.0491,0.0598,0.062,0.0555,0.0648,0.0413,0.054900000000000004
14,0.0496,0.0468,0.0566,0.0518,0.0522,0.0511,0.0556,0.0498,0.0471,0.0413,0.0436,0.0438,0.0414,0.0471,0.0542,0.0557,0.0504,0.0462,0.0502,0.0597,0.0494,0.0597,0.0331,0.049408695652173915
15,0.0478,0.0425,0.0474,0.0478,0.045,0.0469,0.0488,0.0517,0.0421,0.0416,0.0415,0.0409,0.0377,0.0422,0.0455,0.0524,0.0457,0.038,0.048,0.0534,0.0453,0.0513,0.0333,0.04507826086956523
16,0.0405,0.0421,0.0451,0.0434,0.0426,0.0413,0.0441,0.0419,0.0396,0.0321,0.0345,0.0364,0.0324,0.0414,0.0401,0.046,0.0408,0.036,0.0458,0.0465,0.0405,0.0467,0.0295,0.04040434782608695
17,0.037,0.0349,0.0406,0.0443,0.0392,0.0381,0.0385,0.0427,0.0346,0.0305,0.0366,0.0353,0.0345,0.04,0.042,0.0419,0.0382,0.0327,0.0391,0.0439,0.0379,0.0422,0.0265,0.03787826086956522
18,0.0358,0.0342,0.0377,0.0365,0.0368,0.0334,0.0333,0.0354,0.0317,0.0297,0.0309,0.0315,0.0303,0.0299,0.0358,0.038,0.0354,0.032,0.0383,0.0378,0.035,0.0407,0.0266,0.03420434782608695
19,0.0292,0.0328,0.0373,0.0356,0.0313,0.0325,0.0353,0.0354,0.0325,0.0308,0.0306,0.0276,0.0301,0.0301,0.0346,0.0342,0.0328,0.0279,0.0354,0.0356,0.0332,0.0357,0.0243,0.032382608695652175
20,0.028,0.0278,0.0325,0.0327,0.0325,0.0326,0.0336,0.0315,0.0287,0.0293,0.028,0.0272,0.0248,0.032,0.0336,0.0327,0.0342,0.0318,0.0345,0.034,0.0273,0.0369,0.0234,0.030852173913043485
21,0.0258,0.029,0.0285,0.0281,0.0311,0.0295,0.0315,0.0259,0.0311,0.0252,0.0252,0.0258,0.0257,0.029,0.0306,0.0297,0.028,0.0323,0.0304,0.0304,0.0275,0.0328,0.0218,0.028473913043478263
22,0.0238,0.0266,0.0268,0.0292,0.0278,0.0249,0.0259,0.0265,0.0236,0.0246,0.0221,0.0237,0.0225,0.027,0.0248,0.0295,0.0286,0.0223,0.0305,0.024,0.0253,0.029,0.0223,0.025708695652173916
23,0.0254,0.0206,0.027,0.0273,0.0245,0.0233,0.0286,0.0239,0.0251,0.0205,0.0222,0.0205,0.022,0.0232,0.0273,0.0272,0.0252,0.026,0.0272,0.0246,0.0234,0.0303,0.0184,0.024508695652173913
24,0.0207,0.0198,0.0248,0.0264,0.0213,0.0212,0.0287,0.0224,0.02,0.0231,0.0232,0.0228,0.0194,0.0246,0.0245,0.0242,0.0271,0.0205,0.0265,0.0242,0.0238,0.028,0.0195,0.02333478260869565
25,0.0217,0.0198,0.0257,0.0226,0.0223,0.021,0.0242,0.0207,0.0225,0.0223,0.0233,0.022,0.0201,0.0199,0.0227,0.0226,0.0215,0.0187,0.0248,0.0213,0.0199,0.0236,0.0166,0.021730434782608696
